Player,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Alvin Williams,1999-00,25.0,TOR,NBA,PG,55,28,14.2,2.1,5.2,.397,0.3,1.0,.291,1.8,4.2,.422,.425,0.9,1.2,.738,0.5,1.1,1.5,2.3,0.6,0.2,0.9,1.4,5.3
Alvin Williams,2000-01,26.0,TOR,NBA,SG,82,34,29.2,4.0,9.4,.430,0.4,1.3,.306,3.6,8.0,.451,.452,1.3,1.8,.752,0.6,2.0,2.6,5.0,1.5,0.3,1.3,2.1,9.8
Alvin Williams,2001-02,27.0,TOR,NBA,PG,82,82,35.7,4.9,11.8,.415,0.8,2.4,.321,4.2,9.5,.438,.447,1.3,1.7,.736,0.7,2.7,3.4,5.7,1.6,0.3,1.8,2.3,11.8
Alvin Williams,2002-03,28.0,TOR,NBA,PG,78,78,33.8,5.1,11.6,.438,0.6,1.9,.329,4.5,9.7,.458,.464,2.4,3.1,.782,0.7,2.4,3.1,5.3,1.4,0.3,1.6,2.2,13.2
Alvin Williams,2003-04,29.0,TOR,NBA,SG,56,54,30.9,3.6,8.9,.405,0.5,1.6,.292,3.1,7.3,.430,.431,1.2,1.5,.776,0.3,2.4,2.7,4.0,1.0,0.2,1.4,2.0,8.8
Alvin Williams,2005-06,31.0,TOR,NBA,PG,1,0,10.0,0.0,3.0,.000,0.0,2.0,.000,0.0,1.0,.000,.000,1.0,2.0,.500,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0
Alvin Williams,2006-07,32.0,LAC,NBA,PG,2,0,5.0,0.0,1.0,.000,0.0,0.5,.000,0.0,0.5,.000,.000,1.0,2.0,.500,0.5,0.0,0.5,1.5,1.0,0.0,1.5,0.0,1.0
Alvin Williams,Career,,,NBA,,460,334,27.4,3.6,8.6,.421,0.5,1.4,.313,3.2,7.1,.443,.448,1.4,1.8,.760,0.5,1.9,2.5,4.1,1.2,0.2,1.4,2.0,9.0
Amir Johnson,2005-06,18.0,DET,NBA,SF,3.0,0.0,13.0,2.3,3.3,0.7,0.7,1.0,0.667,1.7,2.3,0.714,0.8,1.3,1.3,1.0,1.0,0.3,1.3,1.0,0.0,0.7,1.3,2.3,6.7
Amir Johnson,2006-07,19.0,DET,NBA,PF,8.0,0.0,15.5,2.3,4.1,0.545,0.0,0.4,0.0,2.3,3.8,0.6,0.545,1.4,1.8,0.786,1.9,2.8,4.6,0.4,0.6,1.6,1.1,2.4,5.9
